lcl|ORF753_fragment20:65289:65206,CDK62613.1,74.074,27,7,0,1,27,1,27,9.11e-05,43.9,88.89
lcl|ORF757_fragment20:63582:63436,EMH92129.1,73.913,46,12,0,3,48,38,83,1.37e-11,63.5,80.43
lcl|ORF757_fragment20:63582:63436,VTO10787.1,71.739,46,13,0,3,48,38,83,2.26e-11,62.8,80.43
lcl|ORF758_fragment20:63003:62578,RYA63964.1,84.496,129,20,0,13,141,1,129,2.31e-70,218,89.15
lcl|ORF758_fragment20:63003:62578,HBZ7847554.1,84.496,129,20,0,13,141,1,129,3.36e-70,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_110915845.1,85.271,129,19,0,13,141,1,129,2.18e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,KAB2512958.1,83.721,129,21,0,13,141,1,129,2.45e-69,216,88.37
lcl|ORF758_fragment20:63003:62578,MCL6715843.1,85.271,129,19,0,13,141,1,129,2.48e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,WP_015369132.1,85.271,129,19,0,13,141,1,129,2.71e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,KJG30546.1,84.496,129,20,0,13,141,1,129,2.78e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,WP_047064500.1,85.271,129,19,0,13,141,1,129,2.83e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,HBU9921970.1,85.271,129,19,0,13,141,1,129,3.09e-69,220,89.15
lcl|ORF758_fragment20:63003:62578,WP_087858921.1,85.271,129,19,0,13,141,1,129,3.33e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_213317608.1,84.496,129,20,0,13,141,1,129,4.83e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_032722614.1,84.496,129,20,0,13,141,1,129,4.83e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_064372360.1,84.496,129,20,0,13,141,1,129,8.31e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,HBS6073660.1,84.496,129,20,0,13,141,1,129,8.70e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_234284065.1,84.496,129,20,0,13,141,1,129,8.78e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_049129233.1,84.496,129,20,0,13,141,1,129,9.07e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,HBC5232958.1,84.496,129,20,0,13,141,1,129,9.17e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_265811190.1,84.496,129,20,0,13,141,1,129,9.27e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_023329085.1,84.496,129,20,0,13,141,1,129,9.27e-69,219,89.15
lcl|ORF758_fragment20:63003:62578,WP_154682543.1,84.496,129,20,0,13,141,1,129,9.90e-69,218,89.15
lcl|ORF758_fragment20:63003:62578,WP_138110012.1,84.496,129,20,0,13,141,1,129,9.90e-69,218,89.15
lcl|ORF758_fragment20:63003:62578,WP_004106970.1,84.496,129,20,0,13,141,1,129,1.00e-68,218,89.15
lcl|ORF758_fragment20:63003:62578,WP_142475554.1,84.496,129,20,0,13,141,1,129,1.01e-68,218,89.15
lcl|ORF758_fragment20:63003:62578,WP_265810133.1,84.496,129,20,0,13,141,1,129,1.07e-68,218,89.15
lcl|ORF758_fragment20:63003:62578,WP_100682873.1,84.496,129,20,0,13,141,1,129,1.10e-68,218,89.15
